image	Ind	Infl_pos	Cor_Len_Var	Nectar_UNC	Sugar_UND	Sugar_D+2.5	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	Top_out_dia	Top_in_dia	Bottom_out_dia	Nec_H1	Nec_H2	Nec_H3	Nec_H4	Ov_H1	Ov_H2	Nec_H_avg	Ov_H_avg	Top_out_rad	Top_in_rad	Nec_thickness	Bottom_out_rad	Bottom_in_rad	Bottom_in_rad_A	Bottom_in_rad_B	Bottom_in_rad_C	Bottom_in_rad_D	FVol_A	FVol_B	FVol_C	FVol_C1	FVol_C2	FVol_C3	FVol_C4	CVol_A	CVol_B	Frustrum_Vol	Frustrum_Vol_A	Frustrum_Vol_B	Frustrum_Vol_C	Frustrum_Vol_D	Cylinder_Vol
2028	319	1	26.97	32	31	13.5	2.214	2.046	2.139	1.623	3.287	1.641	3.258	2.064	2.278	1.6	2.423	1.003	3.014	1.038	3.194	1.606	1.148	0.916	1.044	0.423	0.446	0.458	0.423	1.043	1.026	0.4375	1.0345	0.574	0.458	0.116	0.522	0.406	0.522	0.464	0.493	0.5075	0.458148929	0.901588	0.560548	0.721324	0.637572	0.678607	0.69975525	1.374446786	0.119712	0.156247111	0.082587758	0.120958648	0.102158506	0.092469458	0.164537774
38	321	1	24.36	39.94	29.1	14.6	2.255	1.959	2.116	1.455	3.438	1.432	3.299	2	2.249	1.472	2.47	0.591	3.02	0.557	3.316	1.449	1.322	1.067	1.044	0.504	0.487	0.551	0.568	1.368	1.443	0.5275	1.4055	0.661	0.5335	0.1275	0.522	0.3945	0.522	0.45825	0.490125	0.5060625	0.552396708	1.054447	0.65071825	0.83559325	0.739091688	0.786326453	0.810705848	1.657190125	0.15229875	0.223018433	0.120894091	0.174201237	0.148108908	0.13464181	0.252387985
334	321	1	22.82	40.25	31.5	16.8	2.151	2.104	2.104	1.687	3.438	1.536	3.484	2.029	2.22	1.652	2.325	0.684	3.014	0.638	3.322	1.571	1.334	1.102	1.333	0.417	0.452	0.458	0.493	1.42	1.391	0.455	1.4055	0.667	0.551	0.116	0.6665	0.5505	0.6665	0.6085	0.6375	0.652	0.476474886	1.33366675	0.90997675	1.11506475	1.00915675	1.06126975	1.087957	1.429424657	0.141288	0.201877644	0.104158363	0.154620865	0.129790329	0.117074525	0.201960551
357	321	1	24.96	30.04	31	12.3	2.081	2.041	2.029	1.542	3.426	1.548	3.409	2.017	2.18	1.565	2.354	0.661	3.038	0.626	3.357	1.548	1.397	1.177	1.328	0.499	0.476	0.469	0.469	1.38	1.391	0.47825	1.3855	0.6985	0.5885	0.11	0.664	0.554	0.664	0.609	0.6365	0.65025	0.500822229	1.39260225	0.97927725	1.17799225	1.07560975	1.12604475	1.151829438	1.502466687	0.14157	0.207002348	0.107481459	0.15875689	0.133497921	0.120584377	0.212704209
575	323	1	29.72	51.47	30.1	16.8	2.186	2.116	2.081	1.606	3.554	1.548	3.478	2.07	2.284	1.536	2.487	0.661	3.206	0.632	3.409	1.588	1.473	1.125	1.292	0.51	0.58	0.482	0.522	1.455	1.438	0.5235	1.4465	0.7365	0.5625	0.174	0.646	0.472	0.646	0.559	0.6025	0.62425	0.548207918	1.43552725	0.80469025	1.09709725	0.94332475	1.01831875	1.057234938	1.644623754	0.226026	0.345829838	0.185530006	0.269829308	0.228717003	0.207382841	0.371727729
610	323	1	29.66	41.47	29.8	15	2.18	2.116	2.099	1.606	3.507	1.496	3.559	2.041	2.267	1.629	2.406	0.841	3.148	0.759	3.403	1.548	1.408	1.136	1.379	0.51	0.487	0.493	0.545	1.275	1.282	0.50875	1.2785	0.704	0.568	0.136	0.6895	0.5535	0.6895	0.6215	0.6555	0.6725	0.532761754	1.45643425	0.94337425	1.18967025	1.06189825	1.12462825	1.15686025	1.598285263	0.172992	0.273338746	0.142121657	0.210193691	0.176773547	0.15960157	0.276490564
2020	323	1	24.34	25.4	32.2	12.4	2.151	2.151	2.041	1.623	3.496	1.623	3.53	2.006	2.214	1.612	2.441	0.846	3.165	0.817	3.368	1.577	1.455	1.154	1.379	0.528	0.539	0.429	0.383	1.305	1.189	0.46975	1.247	0.7275	0.577	0.1505	0.6895	0.539	0.6895	0.61425	0.651875	0.6706875	0.49192105	1.50627775	0.934453	1.20618075	1.064654313	1.134001891	1.16973741	1.475763149	0.19632725	0.281292631	0.147624031	0.217243865	0.183130332	0.165551277	0.289732521
2107	323	1	27.14	23.9	27.8	10	2.249	1.959	2.151	1.652	3.299	1.536	3.304	1.884	2.336	1.594	2.441	1.02	3.014	1.009	3.165	1.536	1.148	0.829	1.055	0.307	0.365	0.348	0.348	0.939	0.875	0.342	0.907	0.574	0.4145	0.1595	0.5275	0.368	0.5275	0.44775	0.487625	0.5075625	0.358141563	0.91051725	0.45977025	0.66871525	0.557882688	0.611708953	0.639814598	1.074424688	0.15766575	0.161431235	0.086599346	0.126293093	0.10701567	0.096949871	0.169399974
1170	327	1	26.87	15.24	36.2	11	2.174	2.151	2.099	1.71	3.501	1.612	3.536	2.093	2.284	1.675	2.481	0.794	3.136	0.817	3.414	1.588	1.402	1.13	1.362	0.441	0.476	0.505	0.481	1.357	1.276	0.47575	1.3165	0.701	0.565	0.136	0.681	0.545	0.681	0.613	0.647	0.664	0.498204235	1.432543	0.924175	1.167751	1.041339	1.103389	1.135281	1.494612705	0.172176	0.253271091	0.131920496	0.19489949	0.163985917	0.148097187	0.257336437
2346	327	1	27.33	42.25	31	16	2.075	2.075	2.046	1.612	3.49	1.554	3.536	2.041	2.197	1.577	2.429	0.893	3.171	0.87	3.374	1.525	1.444	1.177	1.461	0.463	0.498	0.516	0.487	1.182	1.171	0.491	1.1765	0.722	0.5885	0.1335	0.7305	0.597	0.7305	0.66375	0.697125	0.7138125	0.514173998	1.58233525	1.05407575	1.30986175	1.177513188	1.242573578	1.275939191	1.542521993	0.17495175	0.271617299	0.140098789	0.208148978	0.174696617	0.157540886	0.269866922
2441	327	1	27.58	21.1	32.8	11.1	2.128	2.093	2.081	1.652	3.559	1.577	3.6	1.983	2.214	1.675	2.441	1.003	3.194	0.968	3.391	1.548	1.478	1.177	1.472	0.441	0.418	0.435	0.406	1.09	1.015	0.425	1.0525	0.739	0.5885	0.1505	0.736	0.5855	0.736	0.66075	0.698375	0.7171875	0.445058959	1.631721	1.03370925	1.32116425	1.171774188	1.245053578	1.282755004	1.335176878	0.19978875	0.266150487	0.138216064	0.20470345	0.1720898	0.155310443	0.266753319
2500	327	1	25.69	27.11	30	12.9	2.104	2.162	2.116	1.739	3.554	1.664	3.583	2.081	2.261	1.693	2.458	1.02	3.13	1.003	3.403	1.623	1.438	1.142	1.479	0.423	0.469	0.458	0.417	1.142	1.078	0.44175	1.11	0.719	0.571	0.148	0.7395	0.5915	0.7395	0.6655	0.7025	0.721	0.462599518	1.59552175	1.01365975	1.29515575	1.14893175	1.22067475	1.257573	1.387798555	0.19092	0.269169081	0.138949167	0.206592319	0.173404042	0.156334929	0.2649585
897	333	1	25.4	16.21	25.7	6.8	2.226	1.994	2.174	1.699	3.496	1.588	3.496	1.965	2.296	1.623	2.533	0.754	3.148	0.736	3.397	1.571	1.322	1.101	1.27	0.295	0.371	0.394	0.377	1.24	1.229	0.35925	1.2345	0.661	0.5505	0.1105	0.635	0.5245	0.635	0.57975	0.607375	0.6211875	0.37620572	1.259881	0.86688775	1.05584275	0.958312688	1.006314578	1.030887879	1.128617161	0.13387075	0.147846309	0.076760357	0.113451724	0.095393138	0.086148522	0.151088826
909	333	1	22.24	0			2.157	1.907	2.139	1.583	3.386	1.588	3.432	1.89	2.278	1.559	2.417	0.812	3.113	0.748	3.281	1.577	1.247	1.003	1.275	0.324	0.348	0.313	0.302	1.095	1.142	0.32175	1.1185	0.6235	0.5015	0.122	0.6375	0.5155	0.6375	0.5765	0.607	0.62225	0.336935812	1.19263975	0.77576575	0.97761475	0.87296925	0.92436175	0.950755688	1.010807436	0.13725	0.14045978	0.072449623	0.10770844	0.090392466	0.081499403	0.138733321
934	333	1	24.8	0			2.133	1.93	2.075	1.617	3.414	1.606	3.426	1.919	2.209	1.612	2.423	0.794	3.183	0.748	3.339	1.588	1.339	1.13	1.293	0.313	0.318	0.331	0.313	1.136	1.171	0.31875	1.1535	0.6695	0.565	0.1045	0.6465	0.542	0.6465	0.59425	0.620375	0.6334375	0.333794219	1.29902425	0.919219	1.10245975	1.008109313	1.054602016	1.078360254	1.001382658	0.12900525	0.126776797	0.065612094	0.097105724	0.081586729	0.073656366	0.12918362
997	333	1	22.92	9.21	31.3	5.6	2.238	1.901	2.209	1.623	3.362	1.606	3.339	1.855	2.272	1.606	2.4	0.8	3.154	0.73	3.31	1.612	1.153	1.038	1.101	0.278	0.295	0.243	0.249	1.101	1.125	0.26625	1.113	0.5765	0.519	0.0575	0.5505	0.493	0.5505	0.52175	0.536125	0.5433125	0.278816348	0.95276575	0.768277	0.85812075	0.812372313	0.835039891	0.84652866	0.836449044	0.06299125	0.05143848	0.026388573	0.039143986	0.032823894	0.029620637	0.052688971
1000	333	1	22.42	21.46	23.8	8	2.272	1.93	2.214	1.67	3.397	1.594	3.42	1.89	2.33	1.629	2.417	0.852	3.119	0.8	3.316	1.577	1.183	0.986	1.148	0.26	0.301	0.313	0.296	1.078	1.09	0.2925	1.084	0.5915	0.493	0.0985	0.574	0.4755	0.574	0.52475	0.549375	0.5616875	0.306305284	1.01886925	0.70357075	0.855507	0.777113313	0.815703766	0.835453785	0.918915851	0.10682325	0.096577597	0.05003872	0.074051121	0.062230661	0.056181126	0.098161578
1033	333	1	25.32	10.38	29.4	5	2.186	1.988	2.162	1.675	3.507	1.629	3.478	2.006	2.267	1.652	2.458	0.8	3.188	0.812	3.42	1.617	1.345	1.153	1.292	0.313	0.336	0.389	0.377	1.188	1.194	0.35375	1.191	0.6725	0.5765	0.096	0.646	0.55	0.646	0.598	0.622	0.634	0.370446134	1.30400725	0.95192725	1.12208725	1.03470325	1.07781925	1.09980925	1.111338401	0.119904	0.130426675	0.067391561	0.099762626	0.08379047	0.07564436	0.13325392
1036	333	1	26.29	19.41	29.8	9.2	2.162	1.954	2.116	1.583	3.443	1.565	3.478	1.913	2.255	1.571	2.388	0.684	3.148	0.649	3.345	1.583	1.327	1.09	1.316	0.371	0.383	0.33	0.348	1.27	1.264	0.358	1.267	0.6635	0.545	0.1185	0.658	0.5395	0.658	0.59875	0.628375	0.6431875	0.374896723	1.30977925	0.88211275	1.088599	0.981845313	1.034344516	1.061252348	1.12469017	0.14320725	0.16033077	0.082919751	0.122941359	0.103259579	0.093171921	0.161063786
573	336	1	29.12	30.23	25.5	10.3	2.145	2.029	2.122	1.646	3.403	1.565	3.345	1.994	2.232	1.606	2.371	0.823	3.072	0.829	3.258	1.6	1.281	1.026	1.2	0.383	0.423	0.394	0.429	1.206	1.165	0.40725	1.1855	0.6405	0.513	0.1275	0.6	0.4725	0.6	0.53625	0.568125	0.5840625	0.426471203	1.15454025	0.72881775	0.930969	0.825829313	0.877383141	0.903922066	1.279413608	0.14707125	0.181558387	0.0953467	0.140185749	0.118199526	0.106881438	0.188164959
1173	336	1	30.72	16.72	27.6	8.5	2.139	2.128	2.058	1.722	3.513	1.606	3.496	2.064	2.226	1.623	2.377	0.806	3.241	0.806	3.368	1.588	1.455	1.142	1.357	0.406	0.505	0.476	0.458	1.322	1.258	0.46125	1.29	0.7275	0.571	0.1565	0.6785	0.522	0.6785	0.60025	0.639375	0.6589375	0.48301987	1.48322725	0.896587	1.17382675	1.029083813	1.099924516	1.136492941	1.449059611	0.20321525	0.283358898	0.149446589	0.219360304	0.185142837	0.167479561	0.294471011
2348	336	1	28.78	28.6	29.9	12.2	2.104	2.087	2.087	1.646	3.513	1.571	3.536	2.041	2.197	1.588	2.458	0.968	3.229	0.986	3.386	1.594	1.426	1.189	1.432	0.441	0.499	0.447	0.47	1.119	1.055	0.46425	1.087	0.713	0.5945	0.1185	0.716	0.5975	0.716	0.65675	0.686375	0.7011875	0.486161463	1.531533	1.06565025	1.29174825	1.175188688	1.232590828	1.261950129	1.458484389	0.15493875	0.226494239	0.116574105	0.173240872	0.145334164	0.131060803	0.225975748
2431	336	1	29.79	20.22	28.5	9.6	2.012	1.994	2.006	1.588	3.542	1.53	3.525	1.936	2.11	1.583	2.354	0.841	3.177	0.817	3.432	1.507	1.536	1.322	1.513	0.406	0.411	0.429	0.406	1.153	1.119	0.413	1.136	0.768	0.661	0.107	0.7565	0.6495	0.7565	0.703	0.72975	0.743125	0.432492589	1.74310825	1.28809075	1.50925975	1.395813	1.451820813	1.480361391	1.297477766	0.152903	0.196791696	0.101137743	0.150202622	0.125979658	0.113636069	0.198388243
339	338	1	21.52	23.81	31.3	13.1	2.186	2.041	2.116	1.71	3.467	1.635	3.449	1.971	2.22	1.67	2.47	0.852	3.049	0.846	3.351	1.652	1.351	1.131	1.263	0.331	0.371	0.319	0.336	1.189	1.125	0.33925	1.157	0.6755	0.5655	0.11	0.6315	0.5215	0.6315	0.5765	0.604	0.61775	0.355261769	1.28167075	0.88666075	1.07569575	0.97815325	1.02616825	1.050742938	1.065785308	0.13651	0.140331951	0.073175043	0.107828164	0.09077027	0.082039823	0.145490352
607	338	1	21.07	25.5	28.2	10.6	2.197	2	2.203	1.675	3.484	1.635	3.484	1.988	2.313	1.652	2.504	1.014	3.148	1.009	3.386	1.652	1.281	1.073	1.287	0.325	0.348	0.336	0.353	0.986	0.979	0.3405	0.9825	0.6405	0.5365	0.104	0.6435	0.5395	0.6435	0.5915	0.6175	0.6305	0.356570766	1.23649425	0.86833425	1.04716225	0.95504425	1.00042725	1.02362575	1.069712299	0.122408	0.131275093	0.067510256	0.100356842	0.084174591	0.075902684	0.130941343
1796	338	1	20.47	23.16	26.9	9.4	2.214	2.058	2.157	1.739	3.467	1.6	3.501	1.948	2.301	1.704	2.504	1.009	3.078	0.962	3.368	1.612	1.31	1.067	1.287	0.319	0.354	0.336	0.348	1.049	0.986	0.33925	1.0175	0.655	0.5335	0.1215	0.6435	0.522	0.6435	0.58275	0.613125	0.6283125	0.355261769	1.26460975	0.83559325	1.04202175	0.935116938	0.987646703	1.014603566	1.065785308	0.14440275	0.152413161	0.079077007	0.1170562	0.098394382	0.088817639	0.153902329
1171	345	1	24.64	12.12	27.2	6.6	2.209	1.907	2.191	1.554	3.351	1.49	3.357	1.809	2.301	1.513	2.51	0.748	3.049	0.73	3.241	1.49	1.16	0.94	1.148	0.353	0.394	0.319	0.319	1.159	1.079	0.34625	1.119	0.58	0.47	0.11	0.574	0.464	0.574	0.519	0.5465	0.56025	0.362592152	0.998796	0.654276	0.820156	0.734191	0.77641725	0.798097563	1.087776456	0.1155	0.124920248	0.064773462	0.095943696	0.08063279	0.072771678	0.125638181
2351	345	1	23.52	22.26	28.5	10.2	2.116	2.006	2.064	1.652	3.397	1.519	3.403	1.907	2.157	1.646	2.359	0.939	3.125	0.928	3.281	1.53	1.333	1.124	1.287	0.354	0.36	0.377	0.388	1.067	0.979	0.36975	1.023	0.6665	0.562	0.1045	0.6435	0.539	0.6435	0.59125	0.617375	0.6304375	0.387201295	1.28720725	0.909283	1.09158325	0.997703063	1.043960641	1.067601316	1.161603884	0.12837825	0.146332759	0.075745866	0.112096396	0.094185402	0.085031702	0.149124674
2435	345	1	24.42	13.51	24.6	6.1	2.209	1.988	2.186	1.675	3.461	1.594	3.478	1.913	2.284	1.658	2.452	1.003	3.09	1.049	3.351	1.583	1.275	1.067	1.269	0.313	0.33	0.33	0.319	0.985	0.864	0.323	0.9245	0.6375	0.5335	0.104	0.6345	0.5305	0.6345	0.5825	0.6085	0.6215	0.338244809	1.21349025	0.84907425	1.02571825	0.93469225	0.97952925	1.00245475	1.014734427	0.121784	0.12326182	0.063512904	0.094301976	0.079136094	0.071381662	0.123578417
2495	345	2	22.65	12.45	28.5	6.8	2.139	1.913	2.133	1.617	3.409	1.554	3.397	1.896	2.22	1.594	2.371	0.974	3.09	0.939	3.281	1.577	1.276	1.061	1.258	0.296	0.319	0.319	0.342	0.939	0.957	0.319	0.948	0.638	0.5305	0.1075	0.629	0.5215	0.629	0.57525	0.602125	0.6155625	0.334056019	1.203987	0.83004825	1.01075575	0.917512938	0.963412078	0.986903348	1.002168057	0.12561375	0.12491649	0.064550062	0.095698385	0.080365501	0.072518101	0.125886088
612	346	1	25.22	26.72	28.8	11.2	2.203	2.116	2.075	1.658	3.386	1.594	3.345	2.075	2.238	1.635	2.394	0.829	3.026	0.817	3.316	1.612	1.311	1.078	1.142	0.458	0.481	0.463	0.481	1.287	1.258	0.47075	1.2725	0.6555	0.539	0.1165	0.571	0.4545	0.571	0.51275	0.541875	0.5564375	0.492968247	1.13001175	0.74206675	0.924331	0.829805813	0.876220141	0.900063504	1.478904742	0.13915925	0.191244567	0.101394079	0.147991995	0.125111205	0.113357184	0.205803275
1848	346	1	24.69	26.82	31	13	2.18	2.075	2.099	1.617	3.53	1.588	3.472	2.041	2.243	1.536	2.464	0.794	3.229	0.823	3.409	1.588	1.431	1.166	1.292	0.458	0.539	0.453	0.453	1.281	1.218	0.47575	1.2495	0.7155	0.583	0.1325	0.646	0.5135	0.646	0.57975	0.612875	0.6294375	0.498204235	1.39146925	0.90294175	1.133823	1.013993313	1.072810891	1.103042629	1.494612705	0.17205125	0.243386469	0.128360453	0.188060111	0.158756944	0.143695364	0.257149984
2021	346	1	22.96	18.07	33	10.1	2.319	2.139	2.128	1.774	3.53	1.606	3.467	2.052	2.307	1.71	2.487	0.881	3.038	0.852	3.374	1.501	1.402	1.067	1.148	0.365	0.429	0.551	0.446	1.258	1.2	0.44775	1.229	0.701	0.5335	0.1675	0.574	0.4065	0.574	0.49025	0.532125	0.5530625	0.468882704	1.223251	0.66673225	0.92032725	0.786515688	0.851667953	0.885559223	1.406648111	0.20677875	0.260942016	0.142035707	0.204777634	0.174228864	0.158337834	0.290864938
2134	346	1	24.93	17.01	33	9.1	2.325	1.936	2.249	1.606	3.328	1.588	3.258	2.006	2.371	1.554	2.545	1.043	3.136	1.026	3.258	1.6	1.079	0.887	0.933	0.33	0.382	0.406	0.418	0.893	0.98	0.384	0.9365	0.5395	0.4435	0.096	0.4665	0.3705	0.4665	0.4185	0.4425	0.4545	0.40212386	0.76035925	0.49827925	0.62120725	0.55743925	0.58874725	0.60483325	1.206371579	0.094368	0.105388621	0.055956339	0.081598974	0.06900928	0.062540715	0.113842873
71	349	1	24.07	25.35	25.2	9.9	2.174	2.041	2.11	1.629	3.472	1.542	3.397	2	2.278	1.623	2.458	0.783	3.107	0.719	3.333	1.577	1.362	1.055	1.223	0.412	0.418	0.423	0.458	1.258	1.281	0.42775	1.2695	0.681	0.5275	0.1535	0.6115	0.458	0.6115	0.53475	0.573125	0.5923125	0.447938753	1.25412475	0.72961525	0.97475475	0.846294438	0.909051953	0.941535191	1.343816258	0.18550475	0.234948131	0.125140649	0.182683001	0.154571478	0.140020977	0.249284299
332	349	1	27.44	29.55	33.4	14.5	2.133	2.145	2.11	1.675	3.519	1.617	3.53	2.058	2.267	1.652	2.383	0.806	3.194	0.777	3.386	1.6	1.409	1.119	1.397	0.47	0.493	0.458	0.441	1.339	1.281	0.4655	1.31	0.7045	0.5595	0.145	0.6985	0.5535	0.6985	0.626	0.66225	0.680375	0.48747046	1.47631575	0.92908575	1.19175325	1.05516325	1.122144188	1.156620203	1.46241138	0.18328	0.26675846	0.138715813	0.205299403	0.172648175	0.155842135	0.268030758
577	349	1	27.12	29.44	33.8	15	2.116	2.064	2.041	1.646	3.368	1.565	3.322	2.041	2.226	1.583	2.377	0.748	3.043	0.719	3.235	1.542	1.327	1.009	1.206	0.418	0.481	0.499	0.476	1.316	1.322	0.4685	1.319	0.6635	0.5045	0.159	0.603	0.444	0.603	0.5235	0.56325	0.583125	0.490612053	1.20393175	0.67565425	0.92234275	0.79267825	0.855930438	0.888741578	1.471836158	0.185712	0.259179309	0.138150957	0.201765924	0.170733638	0.154636097	0.273337637
106	354	1	25.44	2.82	24.1	1.2	2.249	2.012	2.093	1.67	3.322	1.525	3.287	1.861	2.186	1.635	2.388	0.73	2.968	0.725	3.235	1.53	1.229	1.049	1.038	0.342	0.377	0.331	0.336	1.282	1.136	0.3465	1.209	0.6145	0.5245	0.09	0.519	0.429	0.519	0.474	0.4965	0.50775	0.362853951	0.96589675	0.68415175	0.81667675	0.74838925	0.78202675	0.799225188	1.088561854	0.10251	0.102232287	0.054145067	0.078923456	0.066717956	0.060477435	0.111588476
341	354	1	22.18	18.45	30.3	10.7	2.255	1.907	2.22	1.6	3.426	1.507	3.38	1.803	2.325	1.6	2.464	0.759	3.183	0.719	3.333	1.472	1.206	1.008	1.125	0.307	0.307	0.331	0.296	1.148	1.084	0.31025	1.116	0.603	0.504	0.099	0.5625	0.4635	0.5625	0.513	0.53775	0.550125	0.32489304	1.01920275	0.70245225	0.85392225	0.775737	0.814217063	0.833916516	0.974679121	0.109593	0.102910033	0.053698484	0.079100328	0.066598423	0.060198208	0.106818009
574	354	2	24.51	0			2.261	1.959	2.226	1.745	3.345	1.588	3.374	1.872	2.296	1.716	2.313	0.864	3.026	0.841	3.264	1.565	1.119	0.968	1.113	0.214	0.243	0.307	0.284	1.095	1.031	0.262	1.063	0.5595	0.484	0.0755	0.5565	0.481	0.5565	0.51875	0.537625	0.5470625	0.274365758	0.93409425	0.698421	0.81329425	0.754432563	0.783507141	0.798311629	0.823097275	0.07878425	0.06466067	0.033143384	0.049293015	0.041315946	0.037254102	0.064847102
611	354	1	17.44	1.35	33.5?	1.1	2.272	1.884	2.168	1.664	3.281	1.594	3.252	1.809	2.243	1.606	2.406	0.829	2.974	0.8	3.212	1.583	1.113	0.969	0.98	0.22	0.278	0.226	0.215	1.055	1.009	0.23475	1.032	0.5565	0.4845	0.072	0.49	0.418	0.49	0.454	0.472	0.481	0.245829625	0.82247725	0.61198525	0.71224525	0.66081925	0.68620825	0.69914575	0.737488875	0.074952	0.051745169	0.027098291	0.039740326	0.033498957	0.030318536	0.055276266
1846	354	1	22.15	4.51	22.1	2	2.272	1.832	2.243	1.594	3.31	1.565	3.246	1.855	2.325	1.571	2.487	0.835	3.072	0.846	3.235	1.559	1.067	0.91	0.974	0.238	0.261	0.296	0.29	0.997	1.009	0.27125	1.003	0.5335	0.455	0.0785	0.487	0.4085	0.487	0.44775	0.467375	0.4771875	0.284052336	0.78160575	0.55976475	0.665779	0.611231313	0.638120016	0.651853223	0.852157007	0.07759725	0.063014454	0.032900859	0.048395257	0.040757458	0.036856508	0.06612504
342	355	1	27.84	38.14	33.2	16.2	2.145	2.041	2.07	1.623	3.478	1.554	3.478	2.006	2.22	1.583	2.388	0.661	3.194	0.632	3.386	1.571	1.408	1.166	1.333	0.418	0.458	0.435	0.452	1.38	1.374	0.44075	1.377	0.704	0.583	0.121	0.6665	0.5455	0.6665	0.606	0.63625	0.651375	0.461552321	1.40905425	0.95548575	1.17268075	1.060423	1.115636813	1.143930016	1.384656962	0.155727	0.209345594	0.109098737	0.160911563	0.135427499	0.122368706	0.215628475
606	355	2	19.65	16.85	29	9	2.272	1.878	2.191	1.583	3.38	1.478	3.345	1.901	2.313	1.548	2.371	0.748	3.043	0.736	3.31	1.49	1.189	0.997	1.073	0.295	0.33	0.411	0.423	1.13	1.165	0.36475	1.1475	0.5945	0.4985	0.096	0.5365	0.4405	0.5365	0.4885	0.5125	0.5245	0.381965307	0.96021175	0.66213175	0.80377975	0.73065175	0.76663975	0.78506575	1.14589592	0.104928	0.113856219	0.059751597	0.087683956	0.073937788	0.066899696	0.120236567
797	355	1	27.95	32	31.6	13.7	2.151	2.122	2.046	1.641	3.519	1.617	3.496	2.11	2.162	1.646	2.452	0.69	3.177	0.672	3.449	1.623	1.473	1.287	1.345	0.481	0.476	0.487	0.493	1.432	1.438	0.48425	1.435	0.7365	0.6435	0.093	0.6725	0.5795	0.6725	0.626	0.64925	0.660875	0.507105414	1.48998475	1.12282075	1.29910225	1.20879925	1.253410188	1.276121078	1.521316243	0.12834	0.186190852	0.096797549	0.142590689	0.119968241	0.108451426	0.195245727
951	355	1	24.88	36.42	31.5	14.9	1.959	2.162	1.948	1.733	3.542	1.641	3.542	2.145	2.081	1.681	2.313	0.719	3.188	0.713	3.438	1.646	1.594	1.357	1.583	0.429	0.481	0.499	0.504	1.443	1.432	0.47825	1.4375	0.797	0.6785	0.1185	0.7915	0.673	0.7915	0.73225	0.761875	0.7766875	0.500822229	1.89250675	1.36992175	1.62386725	1.493383938	1.557747953	1.590588191	1.502466687	0.17484675	0.261722184	0.134540633	0.199889577	0.167654647	0.151207525	0.262701417
943	356	1	21.99	14.2	18.8	4.8	2.238	1.959	2.197	1.716	3.455	1.658	3.426	1.965	2.301	1.675	2.435	0.846	3.194	0.846	3.38	1.641	1.258	1.079	1.188	0.243	0.284	0.324	0.307	1.113	1.119	0.2895	1.116	0.629	0.5395	0.0895	0.594	0.5045	0.594	0.54925	0.571625	0.5828125	0.303163691	1.122103	0.81775825	0.96435925	0.889056188	0.926207078	0.945158004	0.909491073	0.10458075	0.092266278	0.047822177	0.070651332	0.059388531	0.053643298	0.095115259
1847	356	1	23.45	1.64	28	0.9	2.168	1.983	2.11	1.704	3.397	1.629	3.345	1.983	2.243	1.635	2.47	0.98	3.125	0.98	3.275	1.641	1.287	1.032	1.177	0.279	0.348	0.342	0.354	1.003	1.003	0.33075	1.003	0.6435	0.516	0.1275	0.5885	0.461	0.5885	0.52475	0.556625	0.5725625	0.34636059	1.13912425	0.716653	0.91625425	0.812389563	0.863305891	0.889526066	1.03908177	0.14783625	0.146327391	0.077193385	0.113168019	0.09553261	0.086450974	0.153613952
2025	356	1	21.42	12.33	38.2	8.8	2.157	1.936	2.11	1.594	3.478	1.559	3.409	1.925	2.243	1.594	2.388	0.951	3.119	0.928	3.322	1.536	1.368	1.079	1.252	0.342	0.342	0.389	0.366	0.985	0.997	0.35975	0.991	0.684	0.5395	0.1445	0.626	0.4815	0.626	0.55375	0.589875	0.6079375	0.376729319	1.287916	0.78267175	1.02066325	0.896447438	0.957250328	0.988630535	1.130187957	0.17679575	0.190340322	0.100681947	0.147477685	0.124571453	0.112749609	0.199812428
2736	356	1	25.04	14.52	27.7	7.1	2.191	2.023	2.087	1.681	3.548	1.542	3.542	1.925	2.243	1.67	2.435	1.154	3.183	1.107	3.414	1.536	1.461	1.171	1.351	0.342	0.353	0.389	0.383	0.869	0.818	0.36675	0.8435	0.7305	0.5855	0.145	0.6755	0.5305	0.6755	0.603	0.63925	0.657375	0.384059702	1.48338325	0.93484825	1.19461575	1.05947575	1.125731688	1.159845203	1.152179106	0.19082	0.210670189	0.11090396	0.162805788	0.137359552	0.124257926	0.219858817
39	358	1	27.58	31.54	27	12.1	2.504	1.896	2.383	1.501	3.525	1.449	3.362	1.948	2.539	1.455	2.632	0.667	3.212	0.696	3.362	1.449	1.142	0.823	0.858	0.395	0.441	0.499	0.499	1.229	1.252	0.4585	1.2405	0.571	0.4115	0.1595	0.429	0.2695	0.429	0.34925	0.389125	0.4090625	0.480140077	0.755041	0.35286175	0.52990675	0.435024188	0.480875453	0.504993598	1.440420232	0.15670875	0.193102376	0.108095976	0.153652897	0.131637867	0.120057779	0.225726454
1269	358	1	25.69	22.68	21.8	7.8	2.325	1.913	2.197	1.588	3.507	1.583	3.42	1.913	2.284	1.565	2.533	0.777	3.159	0.759	3.414	1.554	1.31	1.13	1.095	0.325	0.348	0.359	0.33	1.136	1.154	0.3405	1.145	0.655	0.565	0.09	0.5475	0.4575	0.5475	0.5025	0.525	0.53625	0.356570766	1.08739375	0.78701875	0.92831875	0.85564375	0.891475	0.909770313	1.069712299	0.1098	0.107104944	0.056721495	0.082635275	0.069858899	0.063335325	0.11745441
